usg_group,usg_code,count,purp_1,purp_2,purp_3,purp_4,purp_5,purp_6,purp_7,purp_8
11,7101,20,1,15,,,,,,
11,7600,703,,,,,,,,
12,1000,185,1,15,,,,,,
12,2301,2,1,15,,,,,,
12,2302,1,1,15,,,,,,
12,2303,5,1,15,,,,,,
12,2305,6,1,15,,,,,,
12,3500,5,1,15,,,,,,
12,3600,27,1,15,,,,,,
12,3601,22,1,15,,,,,,
12,3602,2,1,15,,,,,,
12,5000,94,1,15,,,,,,
12,5001,8,1,15,,,,,,
12,5002,3,1,15,,,,,,
12,5003,12,1,15,,,,,,
12,5004,94,1,15,,,,,,
12,5151,5,1,15,,,,,,
12,5201,94,9,,,,,,,
12,5202,209,9,,,,,,,
12,5253,24,8,1,,,,,,
13,5300,106,3,1,15,,,,,
13,5305,946,3,1,15,,,,,
13,5310,138,3,1,15,,,,,
13,5312,90,3,1,15,,,,,
13,5320,4,3,1,15,,,,,
13,5321,4,3,1,15,,,,,
13,5330,22,3,1,15,,,,,
13,5332,19,3,1,15,,,,,
13,5337,22,3,1,15,,,,,
13,5338,7,3,1,15,,,,,
13,5340,291,2,1,15,,,,,
13,5370,42,2,1,15,,,,,
13,5380,2,2,1,15,,,,,
13,5411,1,3,9,1,15,,,,
13,5420,26,1,3,15,,,,,
14,5600,116,9,5,1,15,,,,
14,5601,30,9,5,1,15,,,,
15,5700,44,63,1,15,,,,,
15,5705,9,63,1,15,,,,,
15,5710,13,63,1,15,,,,,
15,5720,3,63,1,15,,,,,
15,5740,368,63,1,15,,,,,
15,5760,73,63,1,15,,,,,
16,6512,477,5,6,64,1,7,71,72,73
16,6520,1300,5,6,64,1,7,71,72,73
16,6530,139,64,1,,,,,,
16,6535,240,1,15,,,,,,
17,7300,222,1,15,,,,,,
18,6600,66,9,,,,,,,
18,6601,1,9,,,,,,,
18,6640,6,9,,,,,,,
20,5500,17,91,,,,,,,
20,5501,127,91,,,,,,,
20,5503,1,91,,,,,,,
20,5504,2,91,,,,,,,
20,5521,955,91,,,,,,,
20,5523,47,91,,,,,,,
20,5525,80,91,,,,,,,
20,5562,1,91,,,,,,,
21,7400,108,1,,,,,,,
22,5900,81,1,,,,,,,
22,5940,2,9,1,,,,,,
31,7010,1,9,,,,,,,
31,7030,20,9,,,,,,,
32,6700,2,9,,,,,,,
41,7501,1,9,,,,,,,
41,7510,20,1,,,,,,,
41,7520,89,9,,,,,,,
41,7530,2,9,,,,,,,
41,7540,4,9,,,,,,,
51,6800,2,9,,,,,,,
51,6810,4,9,,,,,,,
51,6815,5,9,,,,,,,
51,6824,13,9,,,,,,,
51,6840,4,9,,,,,,,
51,6851,3,9,,,,,,,
